Аудиодорожки,Субтитры,Качество видео,Год производства,Страна,Жанр,Слоган,Режиссер,Сценарий,Продюсер,Оператор,Композитор,Художник,Монтаж,Бюджет,Маркетинг,Сборы в США,Сборы в мире,Зрители,Премьера в Росcии,Премьера в мире,Релиз на DVD,Возраст,Рейтинг MPAA,Время,Название фильма,Актеры,Оценка фильма,Релиз на Blu-ray,Сборы в России,Ре-релиз (РФ),Цифровой релиз,Директор фильма,4K доступно только на больших экранах,Платформа
"['Русский, Английский']",['Русские'],[],['1999'],['США'],"['драма, фэнтези, криминал']",['«Пол Эджкомб не верил в чудеса. Пока не столкнулся с одним из них»'],['Фрэнк Дарабонт'],"['Фрэнк Дарабонт, Стивен Кинг']","['Фрэнк Дарабонт, Дэвид Валдес']",['Дэвид Тэттерсолл'],['Томас Ньюман'],"['Теренс Марш, Уильям Крус, Керин Вагнер, ...']",['Ричард Фрэнсис-Брюс'],['$60 000 000'],['$30 000 000'],['$136 801 374'],['+ $150 000 000 = $286 801 374'],['26 млн'],"['18 апреля 2000, «West»']","['6 декабря 1999, ...']","['13 февраля 2001, «West Video»']",['16+'],['R'],['189 мин. / 03:09'],"['Зеленая миля (1999)', 'The Green Mile16+']","['Том Хэнкс', 'Дэвид Морс', 'Бонни Хант', 'Майкл Кларк Дункан', 'Джеймс Кромуэлл', 'Майкл Джитер', 'Грэм Грин', 'Даг Хатчисон', 'Сэм Рокуэлл', 'Барри Пеппер']",['9.1'],,,,,,,
"['Русский, Английский']",['Русские'],[],['1993'],['США'],"['драма, биография, история, военный']",['«Этот список - жизнь»'],['Стивен Спилберг'],"['Стивен Зеллиан, Томас Кенилли']","['Ирвинг Гловин, Кэтлин Кеннеди, Бранко Лустиг, ...']",['Януш Камински'],['Джон Уильямс'],"['Аллан Старски, Анна Б. Шеппард']",['Майкл Кан'],['$22 000 000'],,['$96 065 768'],['+ $225 240 537 = $321 306 305'],['23 млн'],"['21 мая 1994, «Ист-Вест»']","['30 ноября 1993, ...']","['28 сентября 2004, «Premier Digital»']",['16+'],['R'],['195 мин. / 03:15'],"['Список Шиндлера (1993)', ""Schindler's List16+""]","['Лиам Нисон', 'Бен Кингсли', 'Рэйф Файнс', 'Кэролайн Гудолл', 'Эмбет Дэвидц', 'Йонатан Сэгаль', 'Малгоша Гебель', 'Шмуэль Леви', 'Марк Иванир', 'Беатриче Макола']",['8.8'],"['11 апреля 2013, «Двадцатый Век Фокс СНГ»']",,,,,,
,,,['1994'],['США'],['драма'],['«Страх - это кандалы. Надежда - это свобода»'],['Фрэнк Дарабонт'],"['Фрэнк Дарабонт, Стивен Кинг']","['Лиз Глоцер, Дэвид В. Лестер, Ники Марвин']",['Роджер Дикинс'],['Томас Ньюман'],"['Теренс Марш, Питер Лэндсдаун Смит, Элизабет МакБрайд, ...']",['Ричард Фрэнсис-Брюс'],['$25 000 000'],,['$28 341 469'],['+ $77 218 = $28 418 687'],['6.7 млн'],"['24 октября 2019, «Иноекино»']","['10 сентября 1994, ...']","['1 сентября 1999, «Videogram»']",['16+'],['R'],['142 мин. / 02:22'],"['Побег из Шоушенка (1994)', 'The Shawshank Redemption16+']","['Тим Роббинс', 'Морган Фриман', 'Боб Гантон', 'Уильям Сэдлер', 'Клэнси Браун', 'Гил Беллоуз', 'Марк Ролстон', 'Джеймс Уитмор', 'Джеффри ДеМанн', 'Ларри Бранденбург']",['9.1'],"['27 августа 2009, «Союз-Видео»']",['$87 432'],,,,,
"['Русский, Русский 5.1, Английский, Английский 5.1']",['Русские'],[],['1994'],['США'],"['драма, комедия, мелодрама, история, военный']","['«Мир уже никогда не будет прежним, после того как вы увидите его глазами Форреста Гампа»']",['Роберт Земекис'],"['Эрик Рот, Уинстон Грум']","['Венди Файнерман, Стив Старки, Стив Тиш, ...']",['Дон Бёрджесс'],['Алан Сильвестри'],"['Рик Картер, Лесли МакДональд, Уильям Джеймс Тигарден, ...']",['Артур Шмидт'],['$55 000 000'],,['$329 694 499'],['+ $347 693 217 = $677 387 716'],['78.5 млн'],"['13 февраля 2020, «Иноекино»']","['23 июня 1994, ...']","['1 декабря 2009, «Юниверсал Пикчерс Рус»']",['16+'],['PG-13'],['142 мин. / 02:22'],"['Форрест Гамп (1994)', 'Forrest Gump16+']","['Том Хэнкс', 'Робин Райт', 'Салли Филд', 'Гэри Синиз', 'Майкелти Уильямсон', 'Майкл Коннер Хэмпфри', 'Ханна Р. Холл', 'Сэм Андерсон', 'Шиван Фэллон', 'Ребекка Уильямс']",['8.9'],,['$84 460'],,,,,
,,,['2003'],"['Новая Зеландия, США']","['фэнтези, приключения, драма']",['«There can be no triumph without loss. No victory without suffering. No freedom without sacrifice»'],['Питер Джексон'],"['Фрэн Уолш, Филиппа Бойенс, Питер Джексон, ...']","['Питер Джексон, Eric Monette, Барри М. Осборн, ...']",['Эндрю Лесни'],['Говард Шор'],"['Грант Мейджор, Джо Бликли, Саймон Брайт, ...']",['Джэми Селкирк'],['$94 000 000'],['$50 000 000'],['$378 251 207'],['+ $768 206 541 = $1 146 457 748'],['61.9 млн'],"['22 января 2004, «Каро-Премьер»']","['1 декабря 2003, ...']","['25 мая 2004, «Premier Digital»']",['12+'],['PG-13'],['201 мин. / 03:21'],"['Властелин колец: Возвращение короля (2003)', 'The Lord of the Rings: The Return of the King12+']","['Элайджа Вуд', 'Вигго Мортенсен', 'Шон Эстин', 'Иэн Маккеллен', 'Орландо Блум', 'Доминик Монахэн', 'Билли Бойд', 'Энди Серкис', 'Миранда Отто', 'Бернард Хилл']",['8.7'],"['6 апреля 2010, «Юниверсал Пикчерс Рус»']",['$14 085 000'],"['29 апреля 2021, «UPI»']",,,,
"['Русский, Русский 5.1, Английский, Английский 5.1, Казахский, Казахский 5.1']","['Русские, Английские']",[],['2017'],['США'],"['мультфильм, фэнтези, комедия, приключения, семейный, музыка']",['«The celebration of a lifetime»'],"['Ли Анкрич, Эдриан Молина']","['Ли Анкрич, Джейсон Кац, Мэттью Олдрич, ...']","['Дарла К. Андерсон, Мэри Элис Драмм, Джон Лассетер']",,['Майкл Джаккино'],"['Харли Джессуп, Берт Берри, Тим Эватт, ...']","['Стив Блум, Ли Анкрич']",['$175 000 000'],,['$209 726 015'],['+ $597 356 181 = $807 082 196'],,"['23 ноября 2017, «WDSSPR»']","['20 октября 2017, ...']","['20 марта 2018, «Уолт Дисней Компани СНГ»']",['12+'],['PG'],['105 мин. / 01:45'],"['Тайна Коко (2017)', 'Coco12+']","['Энтони Гонсалес', 'Гаэль Гарсиа Берналь', 'Бенджамин Брэтт', 'Аланна Юбак', 'Рене Виктор', 'Хайме Камиль', 'Альфонсо Арау', 'Херберт Сигенса', 'Габриэль Иглесиас', 'Ломбардо Бойяр']",['8.7'],"['20 марта 2018, «Уолт Дисней Компани СНГ»']",['$9 788 410'],,"['16 февраля 2018, «Уолт Дисней Компани СНГ»']",,,
"['Русский, Русский 5.1, Английский, Английский 5.1']",['Русские'],[],['1985'],['США'],"['фантастика, комедия, приключения']",['«Семнадцатилетний Марти МакФлай пришел вчера домой пораньше. На 30 лет раньше»'],['Роберт Земекис'],"['Роберт Земекис, Боб Гейл']","['Нил Кэнтон, Боб Гейл, Кэтлин Кеннеди, ...']",['Дин Канди'],['Алан Сильвестри'],"['Лоуренс Дж. Полл, Тодд Халлоуэлл, Дебора Линн Скотт, ...']","['Гарри Керамидас, Артур Шмидт']",['$19 000 000'],,['$210 609 762'],['+ $170 500 000 = $381 109 762'],['59.1 млн'],"['27 июня 2013, «Другое кино»']","['3 июля 1985, ...']","['7 октября 2003, «Premier Digital»']",['12+'],['PG'],['116 мин. / 01:56'],"['Назад в будущее (1985)', 'Back to the Future12+']","['Майкл Дж. Фокс', 'Кристофер Ллойд', 'Лиа Томпсон', 'Криспин Гловер', 'Томас Ф. Уилсон', 'Клаудия Уэллс', 'Марк МакКлюр', 'Уэнди Джо Спербер', 'Джордж ДиЧенцо', 'Фрэнсис Ли МакКейн']",['8.6'],"['2 ноября 2010, «Юниверсал Пикчерс Рус»']",,"['10 декабря 2020, «Иноекино»']",,,,
,,,['2014'],"['США, Великобритания, Канада']","['фантастика, драма, приключения']",['«Следующий шаг человечества станет величайшим»'],['Кристофер Нолан'],"['Джонатан Нолан, Кристофер Нолан']","['Кристофер Нолан, Линда Обст, Эмма Томас, ...']",['Хойте Ван Хойтема'],['Ханс Циммер'],"['Нэйтан Краули, Кенделл Эллиотт, Эггерт Кетилссон, ...']",['Ли Смит'],['$165 000 000'],,['$188 020 017'],['+ $489 876 780 = $677 896 797'],['4.4 млн'],"['6 ноября 2014, «Каро-Премьер»']","['26 октября 2014, ...']","['9 апреля 2015, «CP Дистрибуция»']",['16+'],['PG-13'],['169 мин. / 02:49'],"['Интерстеллар (2014)', 'Interstellar16+']","['Мэттью МакКонахи', 'Энн Хэтэуэй', 'Джессика Честейн', 'Маккензи Фой', 'Майкл Кейн', 'Дэвид Гяси', 'Уэс Бентли', 'Кейси Аффлек', 'Джон Литгоу', 'Мэтт Дэймон']",['8.6'],"['9 апреля 2015, «CP Дистрибуция»']",['$26 192 066'],,,,,
"['Русский, Русский 5.1, Русский (Кубик в Кубе 18+), Русский 5.1 (Кубик в Кубе 18+), Английский, Английский 5.1']",['Русские'],[],['1994'],['США'],"['криминал, драма']","[""«Just because you are a character doesn't mean you have character»""]",['Квентин Тарантино'],"['Квентин Тарантино, Роджер Эвери']","['Лоуренс Бендер, Дэнни ДеВито, Ричард Н. Гладштейн, ...']",['Анджей Секула'],['—'],"['Дэвид Уоско, Чарльз Коллам, Бетси Хайман, ...']",['Салли Менке'],['$8 000 000'],,['$107 928 762'],['+ $106 000 000 = $213 928 762'],['25.4 млн'],"['29 сентября 1995, «Аргус-СВ»']","['21 мая 1994, ...']","['31 января 2002, «West Video»']",['18+'],['R'],['154 мин. / 02:34'],"['Криминальное чтиво (1994)', 'Pulp Fiction18+']","['Джон Траволта', 'Сэмюэл Л. Джексон', 'Брюс Уиллис', 'Ума Турман', 'Винг Реймз', 'Тим Рот', 'Харви Кейтель', 'Квентин Тарантино', 'Питер Грин', 'Аманда Пламмер']",['8.6'],"['11 сентября 2013, «Кармен Видео»']",['$83 843'],"['27 декабря 2012, «Каравелла DDC»']",,,,
,,,['2001'],"['Новая Зеландия, США']","['фэнтези, приключения, драма']",['«Power can be held in the smallest of things...»'],['Питер Джексон'],"['Фрэн Уолш, Филиппа Бойенс, Питер Джексон, ...']","['Питер Джексон, Барри М. Осборн, Тим Сандерс, ...']",['Эндрю Лесни'],['Говард Шор'],"['Грант Мейджор, Джо Бликли, Дэн Хенна, ...']",['Джон Гилберт'],['$93 000 000'],['$50 000 000'],['$316 115 420'],['+ $582 089 000 = $898 204 420'],['54.6 млн'],"['7 февраля 2002, «Каро-Премьер»']","['10 декабря 2001, ...']","['3 декабря 2002, «Premier Digital»']",['12+'],['PG-13'],['178 мин. / 02:58'],"['Властелин колец: Братство Кольца (2001)', 'The Lord of the Rings: The Fellowship of the Ring12+']","['Элайджа Вуд', 'Иэн Маккеллен', 'Шон Эстин', 'Вигго Мортенсен', 'Билли Бойд', 'Доминик Монахэн', 'Джон Рис-Дэвис', 'Орландо Блум', 'Шон Бин', 'Иэн Холм']",['8.6'],"['6 апреля 2010, «Юниверсал Пикчерс Рус»']",['$7 179 834'],"['15 апреля 2021, «UPI»']",,,,
,,,['2002'],"['Новая Зеландия, США']","['фэнтези, приключения, драма']",['«Приключение продолжается»'],['Питер Джексон'],"['Фрэн Уолш, Филиппа Бойенс, Стивен Синклер, ...']","['Питер Джексон, Eric Monette, Барри М. Осборн, ...']",['Эндрю Лесни'],['Говард Шор'],"['Грант Мейджор, Джо Бликли, Дэн Хенна, ...']",['Майкл Хортон'],['$94 000 000'],['$45 000 000'],['$342 952 511'],['+ $604 991 759 = $947 944 270'],['57.6 млн'],"['22 января 2003, «Каро-Премьер»']","['5 декабря 2002, ...']","['28 августа 2003, «Premier Digital»']",['12+'],['PG-13'],['179 мин. / 02:59'],"['Властелин колец: Две крепости (2002)', 'The Lord of the Rings: The Two Towers12+']","['Элайджа Вуд', 'Иэн Маккеллен', 'Вигго Мортенсен', 'Лив Тайлер', 'Шон Эстин', 'Кейт Бланшетт', 'Джон Рис-Дэвис', 'Бернард Хилл', 'Кристофер Ли', 'Билли Бойд']",['8.6'],"['6 апреля 2010, «Юниверсал Пикчерс Рус»']",['$9 400 000'],"['22 апреля 2021, «UPI»']",,,,
['Русский'],['Нет'],[],['1973'],['СССР'],"['комедия, фантастика, приключения']",['—'],['Леонид Гайдай'],"['Владлен Бахнов, Леонид Гайдай, Михаил Булгаков']",,"['Виталий Абрамов, Сергей Полуянов']",['Александр Зацепин'],['Евгений Куманьков'],['Клавдия Алеева'],,,,,['60.7 млн'],,"['17 сентября 1973, ...']","['9 июня 2009, «Lizard Cinema Trade»']",['6+'],,['88 мин. / 01:28'],"['Иван Васильевич меняет профессию (1973)', '6+']","['Александр Демьяненко', 'Юрий Яковлев', 'Леонид Куравлёв', 'Наталья Крачковская', 'Савелий Крамаров', 'Наталья Селезнёва', 'Владимир Этуш', 'Михаил Пуговкин', 'Сергей Филиппов', 'Наталья Кустинская']",['8.8'],"['9 марта 2011, «Парадиз»']",,,,['Аркадий Ашкинази'],,
,,,['2011'],['Франция'],"['драма, комедия, биография']","[""«Sometimes you have to reach into someone else's world to find out what's missing in your own»""]","['Оливье Накаш, Эрик Толедано']","['Оливье Накаш, Филипп Поццо ди Борго, Эрик Толедано']","['Николя Дюваль-Адассовски, Лоран Зэйтун, Ян Зеноу, ...']",['Матьё Вадпьед'],['Людовико Эйнауди'],"['Франсуа Эммануэлли, Матьё Вадпьед, Изабель Паннетье, ...']",['Дориан Ригаль-Ансу'],['€9 500 000'],,['$10 198 820'],['+ $416 389 690 = $426 588 510'],['19.4 млн'],"['26 апреля 2012, «Каскад фильм»']","['23 сентября 2011, ...']","['28 мая 2012, «Новый Диск»']",['16+'],['R'],['112 мин. / 01:52'],"['1+1 (2011)', 'Intouchables16+']","['Франсуа Клюзе', 'Омар Си', 'Анн Ле Ни', 'Одри Флеро', 'Жозефин де Мо', 'Клотильд Молле', 'Альба Гайя Крагеде Беллуджи', 'Сирил Менди', 'Салимата Камате', 'Абса Дьяту Тур']",['8.8'],"['25 июня 2012, «Новый Диск»']",['$1 725 813'],,,,,
